judul,isi_laporan,info,link,impact,urgency,prioritas
Monyet Liar Sangat Mengganggu Warga Dan Juga Mengganggu Siswa Tk Ketika Saat Belajar,"03-desember-2025
lokasi
jl. setiabudhi dalam no.7 rt. 3 rw. 7, ledeng, kec. cidadap, kota bandung (belakang mesjid jami ar rahman)
kehadiran monyet liar di lingkungan pemukiman telah menjadi sumber gangguan yang sangat serius dan meresahkan bagi warga, serta menimbulkan kekhawatiran besar terhadap keselamatan dan kenyamanan, khususnya bagi anak-anak usia tk.

dampak buruk terhadap warga
monyet-monyet ini secara rutin memasuki area perumahan dan menimbulkan berbagai masalah, di antaranya:

pencurian makanan: monyet-monyet ini berani masuk ke dapur, teras, atau warung untuk mengambil dan merusak bahan makanan, membuat warga mengalami kerugian materi.

perusakan properti: mereka seringkali merusak atap rumah, tanaman hias, jemuran pakaian, dan bahkan membuang sampah sembarangan setelah mengacak-acak tempat sampah.

ancaman keamanan: sifat agresif monyet, terutama saat merasa terancam atau kelaparan, berpotensi menggigit atau menyerang warga, yang menimbulkan ketakutan, khususnya pada anak-anak kecil dan lansia.

gangguan terhadap siswa taman kanak-kanak (tk)
situasi ini menjadi lebih kritis di sekitar area sekolah tk. kehadiran monyet liar sangat mengganggu proses belajar mengajar dan menciptakan lingkungan yang tidak kondusif:

mengalihkan perhatian: kemunculan monyet di luar atau bahkan di area sekolah secara langsung mengalihkan fokus dan perhatian siswa tk yang sedang belajar.

menimbulkan ketakutan: anak-anak usia dini seringkali takut dan menangis melihat monyet yang besar dan agresif, yang secara psikologis mengganggu kenyamanan mereka saat berada di sekolah.

ancaman di jam istirahat: monyet dapat menyerang atau mencuri bekal makanan siswa saat jam istirahat, yang memaksa guru harus ekstra waspada dan membatasi aktivitas bermain di luar ruangan.

kesimpulan:

diperlukan tindakan cepat dan terpadu dari pihak berwenang, bersama dengan kesadaran warga, untuk mengelola populasi monyet liar ini. tujuan utamanya adalah mengembalikan rasa aman dan menjamin lingkungan yang tenang bagi warga, serta memastikan siswa tk dapat belajar dalam suasana yang aman, nyaman, dan bebas dari rasa takut.","  RABU, 2025/12/03 |   EVAKUASI HEWAN LIAR |   LAPORAN 3 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/monyet-liar-sangat-mengganggu-warga-dan-juga-mengganggu-siswa-tk-ketika-saat-belajar-202512031126031764735963519,3,3,9
Mengurus Akte Lahir Dan Akte Kematian,"Nama lengkap : asep saepudin
no. kontak : 083842523417
email : asdin81071@gmail.com

assalamualaikum . saya adalah salah satu ketua rt di kota bandung . mau bertanya apakah mengurus / permohonan bikin akte lahir dan akte kematian bisa di input pake account sapa warga milik ketua rt nya pribadi ngak .

kabupaten / kota : kota bandung
kecamatan :babakan ciparay
kelurahan :sukahaji
detail lokasi kejadian : jl.jamika rt:04 /06 kel : sukahaji kec : bacip .

nama instansi : dinas kependudukan dan pencatatan sipil
pemda penanggungjawab: kota bandung","  MINGGU, 2026/04/19 |   LAIINYA TERKAIT LAYANAN ONLINE/APLIKASI PEMERINTAH |   LAPORAN 6 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/mengurus-akte-lahir-dan-akte-kematian-202604221019431776827983171,1,1,1
Drainase Ruas Jl. Sederhana Kel. Pasteur Kec. Sukajadi Kota Bandung,"Halo pak, maaf mengganggu. izin menyampaikan pengaduan. sepanjang ruas jl. sederhana kel. pasteur kec. sukajadi sering terjadi banjir akibat sistem drainase yang kurang baik. setiap malam selalu ada luapan air yg bersumber di area pasar sederhana dan juga terjadi saat hujan terus-menerus atau dlm curah yg tinggi. saya perhatikan, selokan atau gorong-gorong yang menjadi saluran air masih kosong namun air tetap saja mengaliri jalan. akibatnya akses jalan pun menjadi terhambat dan bahkan mengkhawatirkan penggunanya, mengingat juga lokasi tersebut bertepatan dengan lingkungan kesehatan atau rumah sakit (rs hasan sadikin). saya harap laporan ini dapat ditindaklanjuti sebagaimana mestinya, terimakasih pak",DRAINASE (GORONG-GORONG/PARIT) |   LAPORAN 3 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/drainase-ruas-jl-sederhana-kel-pasteur-kec-sukajadi-kota-bandung-202510241403261761289406126,3,2,6
Penutupan Tps,"Berdasarkan surat dari dinas lingkungan hidup kota bandung tgl 29-4-2026 no.s/lh.04.04/-dlh/04/2026, hal.pemberitahuan penutupan tps., saya ingin bertanya kenapa tps ciwastra ini sering sekali ditutup? seperti saat ini sesuai surat itu hanya ditujukan kepada camat buahbatu dan rancasari sedangkan tps-tps lain di kita bandung ini tidak ada penutupan! jadi kami warga 2 kecamatan ini merasa didiskriminasi oleh pemkot cq.dinas lh.yg berakibat sampah rumah tangga kami tidak diangkut yg tentu saja jadi rawan penyakit yg ditimbulkan dari tempat2 sampah warga tsb. kami mohon keadilannya karena kami sbg warga kota bdg juga sama bayar pajak, taat aturan. terimakasih atas perhatiannya.

kabupaten / kota : kota bandung
kecamatan : buahbatu
kelurahan : margasari
detail lokasi kejadian : margasari buahbatu bandung

nama instansi : dinas lingkungan hidup
pemda penanggungjawab : kota bandung

titik lokasi kejadian : -6.957773989751911,107.65837904065847","  JUMAT, 2026/05/01 |   PENGELOLAAN SAMPAH |   LAPORAN 6 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/penutupan-tps-202605110911571778465517017,2,2,4
Warung/Pkl Jualan Di Trotoar,"Halo admin, saya ingin melaporkan terkait adanya warung “warung paskoj” yang berjualan di trotoar jl. terusan pasirkoja no. 87.

sudah sempat ditegur pemilik warung itu namun tidak merespon dengan baik dan ternyata bukan warga asli sekitar, warung tersebut menghalangi akses parkir ruko dan menghalangi pejalan kaki untuk berjalan di trotoar itu.

warung tersebut melanggar pasal 22 ayat (1) huruf a perda kota bandung no. 11 tahun 2024 tentang penataan dan pemberdayaan pedagang kaki lima.

berikut kami lampiran foto warungnya min","  RABU, 2025/11/12 |   SP4N-LAPOR! |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/warung-pkl-jualan-di-trotoar-202511161348041763275684972,2,1,2
Ingin Mencari Pekerjaan,Nama saya sofyan aly saya tinggal di jl. cihaur kelurahan dago saya warga disana sedang kesulitan dalam mencari pekerjaan saya asli lulusan sistem informasi dari kampus stmik jabar saya mohon bantuannya kepada pihak kecamatan maupun instansi dinas untuk memberikan saya pertolongan karena pada saat ini saya sudah kesana kemari untuk mencari pekerjaan dan sampai sekarang belum juga membuahkan hasil untuk pengalaman kerja saya pernah bekerja di yayasan pondok pesantren sebagai pengelola administrasi saya sangat membutuhkan pekerjaan dalam bidang apapun karena saya memiliki tanggungan adik saya yang sedang duduk di bangku kuliah di kampus upi dan adik saya membutuhkan pertolongan saya informasi kontak bisa hubungi saya di nomor 89696457488,BANTUAN SOSIAL |   LAPORAN 2 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/ingin-mencari-pekerjaan-202509171935041758112504542,1,1,1
Permohonan Klarifikasi Legalitas Pembangunan Rumah Ibadah Di Jl. Setramurni Raya No.27 Bandung,"Mohon klarifikasi dan peninjauan terkait kegiatan pembangunan yang diduga sebagai rumah ibadah (gereja) di jl. setramurni raya no.27, sukarasa, kec. sukasari, kota bandung.

kami berharap pihak berwenang dapat memastikan bahwa pembangunan tersebut telah memenuhi ketentuan peraturan perundang-undangan yang berlaku, khususnya:

- peraturan bersama menteri agama dan menteri dalam negeri (pbm) no. 9 dan 8 tahun 2006 tentang pendirian rumah ibadah.
- ketentuan perizinan bangunan seperti persetujuan bangunan gedung (pbg) sesuai aturan yang berlaku.

sebagaimana diketahui, pendirian rumah ibadah mensyaratkan antara lain adanya dukungan masyarakat sekitar dan kelengkapan administratif lainnya sesuai peraturan tersebut.

kami mohon agar dilakukan pengecekan perizinan serta sosialisasi kepada warga sekitar untuk menjaga ketertiban dan kerukunan.

demikian disampaikan, atas perhatian dan tindak lanjutnya diucapkan terima kasih.","  JUMAT, 2026/03/20 |   PENYEDIAAN FASILITAS IBADAH |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/permohonan-klarifikasi-legalitas-pembangunan-rumah-ibadah-di-jl-setramurni-raya-no-27-bandung-202603201539251773995965608,2,2,4
Pembakaran sampah sembarangan di cisaranten kulon,"Tetangga depan rumah saya hari ini membakar sampah dan atau daun kering, sehingga asapnya masuk ke dalam rumah yang membuat keluarga saya batuk batuk dan sesak nafas, tentunya hal tersebut sangat merugikan kesehatan dan produktivitas harian kami.Kejadian tersebut bukan yang pertama kali, sudah kesekian kalinya dan sudah selalu kami tegur ketika membakar sampah dan atau daun kering tersebut dikarenakan sangat mengganggu. Keluhan serupa pun selalu disampaikan oleh tetangga saya yang lainnya di whassap grup warga, namun hanya berhenti sebentar saja dan ketika berselang lama akan terjadi lagi bakar sampah/ daun kering tersebut.Alamat rumah saya di Jalan Permata Taman Sari Raya Nomor 27 RT 08 RW 12 Cisaranten Kulon Arcamanik, yang dudurukannya teh di rumah depan rumah saya",PENCEMARAN LINGKUNGAN |   LAPORAN 2 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/pembakaran-sampah-sembarangan-di-cisaranten-kulon-202603121540381773304838708,2,2,4
Jembatan Rusak,"Jembatan penghubung dari jalan gedebage utama (summarecon) ke masjid al jabbar rusak parah. semula terdiri dari dua jalur sekarang menjadi 1 jalur karena sudah tidak bisa digunakan.
jembatan ini sudah lama rusak dan tidak ada perbaikan sama sekali dan sangat berbahaya karena kayu-kayunya sudah lapuk.
jembatan ini sangat bermanfaat sebagai akses dari jalan gedebage ke masjid al jabbar. mohon untuk ditindaklanjuti.","  RABU, 2026/03/04 |   JEMBATAN |   LAPORAN 8 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/jembatan-rusak-202603041119411772597981739,3,3,9
Trotoar Dipenuhi Pkl,"Seperti yang kita tau, trotoar bukanlah tempat untuk berjualan maupun tempat parkir, sejatinya trotoar adalah tempat untuk pedestrian berjalan agar aman dari kendaraan bermotor. namun kenyataannya di kota bandung ini sudah terknal dan banyak sekali lokasi yang trotoarnya sudah diperbaiki namun malah diisi oleh pkl bahkan sampai ada yang membuat kanopi semi permanen menggunakan baja ringan sehingga para pejalan kaki terpaksa harus lewat jalan. salah satunya adalah di jalan gatot subroto baik itu di dekat mall tsm maupun dekat dengan jalan burangrang. terlebih kantor satpol pp tidak jauh dari sana tapi tidak pernah ditindak hanga didiamkan saja hingga menjamur. tolong tindak lanjuti karna memang sudah haknya trotoar untuk pedestrian bukan untuk berjualan","  KAMIS, 2025/12/18 |   TROTOAR |   LAPORAN 8 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/trotoar-dipenuhi-pkl-202512181548091766047689782,3,1,3
Acara Perayaan Hari Besar Dengan Mengadakan Musik Bervolume Keras Hingga Tengah Malam Di Lingkungan Jl. Cilengkrang I Rt 01/05 Di Kel. Cisurupan Kec. Cibiru Kota Bandung,"Setiap perayaan hari besar selalu di adakan acara musik dengan volume keras hingga larut malam (00.00-02.00 wib) di lingkungan jl. cilengkrang i rt 01/05 kel. cisurupan kec. cibiru kota bandung.

contohnya pada peringatan hari besar islam yang jatuh pada tanggal 5 september 2025, namun di adakan acara musik dangdut yang dilaksakan pada tanggal 6-7 september 2025 hingga pukul 00.30 wib. ironisnya hal ini diketahui oleh kepala rt setempat, namun ybs mengabaikan aturan perundang undangan yang berlaku dikarenakan hal ini sangat mengganggu ketentraman di lingkungan masyarakat.

dengan adanya laporan ini, saya harap pihak terkait dapat merespon cepat hal berikut. terimakasih","  LAINNYA TERKAIT KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT |   LAPORAN 4 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/acara-perayaan-hari-besar-dengan-mengadakan-musik-bervolume-keras-hingga-tengah-malam-di-lingkungan-jl-cilengkrang-i-rt-01-05-di-kel-cisurupan-kec-cibiru-kota-bandung-202509072302001757260920540,2,2,4
Sampah Berserakan Di Bawah Fly Over Ciroyom,"Warga sekitar fly over ciroyom terdampak efek dari timbunan sampah yang dihasilkan oleh pasar ciroyom dan tempat pemotongan ayam di sekitar lokasi tersebut, sampah terdiri dari sampah biasa dan limbah bekas pemotongan ayam. mohon kepada instansi terkait untuk segera menindaklanjuti. berikut lokasi detailnya : https://maps.app.goo.gl/s5gvyn9uxzud3p3g7","  SENIN, 2026/02/09 |   SAMPAH LIAR |   LAPORAN 11 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/sampah-berserakan-di-bawah-fly-over-ciroyom-202602090948311770605311937,2,2,4
Bekas Pohon Tumbang Dan Ranting Pohon Di Trotoar,"Bertepat di area trotoar jl hos cokroaminoto / pasirkaliki kota bandung.
dimana bekas pohon tumbang dan ranting ranting pohon tersebut setelah di potong tidak di angkut dan menggunung di area trotoar bertepat depan hotel hilton bandung dan perbatasan dengan hotel cemerlang.[ samping pos polisi ] samping hotel cemerlang.
posisi di trotoar dan menghalangi akses pejalan kaki.
mohon untuk segera dilakukan pengangkutan dan pembersihan sampah bekas pohon tumbang dan ranting ranting tersebut","  JUMAT, 2026/04/10 |   TAMAN |   LAPORAN 3 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/bekas-pohon-tumbang-dan-ranting-pohon-di-trotoar-202604151005471776222347002,3,2,6
Laporan Kegiatan Anak-Anak Yang Bermain Sepakbola Di Depan Rumah Warga,"Dengan hormat,

di jalan karasak tengah ii rt 004 rw 002, karasak, kota bandung, hampir setiap sore sekelompok anak bermain sepak bola di depan rumah warga. kegiatan tersebut menimbulkan kebisingan dan mengganggu ketenangan.

mohon pihak dari instansi terkait dapat memberikan arahan atau penertiban agar lingkungan tetap nyaman.

terima kasih atas perhatian dan kerjasamanya.","  KAMIS, 2025/11/20 |   LAINNYA TERKAIT KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT |   LAPORAN 3 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/laporan-kegiatan-anak-anak-yang-bermain-sepakbola-di-depan-rumah-warga-202511231446211763883981621,2,1,2
Tolong Perbaiki Halte Di Depan Rri,"Yth. dishub bandung,

tolong perbaiki halte depan rri (sebrang sekolah alfa centauri). sudah rusak dan tidak ada lampu",HALTE |   LAPORAN 13 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/tolong-perbaiki-halte-di-depan-rri-202510121950061760273406744,3,2,6
Kekerasan Di Lingkungan Pendidikan,"Sdn 142 dwikora kota bandung. kamis, 16 oktober 2025.
anak kls 2 sedang bermain bola, datang anak kls 4 yang ingin bergabung namun tidak diizinkan, anak kls 2 mengalah dan kembali ke kelas, namun anak kls 4 mendatangi hingga ke dalam kelas dan melakukan kekerasan secara acak ke beberapa anak kls 2, salah satunya anak kami perempuan yang ditendang di bagian perut sehingga harus mendapatkan perawatan medis di klinik. mohon agar dapat dimediasi antara korban, pihak terduga dan pihak sekolah agar masalah ini tidak berlarut maupun meluas. demikian disampaikan untuk menjadi perhatian.",PERUNDUNGAN DAN INTOLERANSI |   LAPORAN 3 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/kekerasan-di-lingkungan-pendidikan-202510170824261760664266226,3,3,9
permohonan penyelesaian perbaikan drainase,"Pada tanggal 12 desember 2025 ada perbaikan saluran drainase di jl.Sauyunan 10 Rt 07 rw 07 melalui musrembang dikelurahan kebonlega,pada saat pekerjaan sudah selesai ada warga yang akses jalan kendaraanya terganggu,pihak pelaksana menjanjikan akan menyelesaikan pekerjaan tersebut,tapi sampai dengan saat ini belum ada tindak lanjut.Dimihon untuk dibantu kepada DSDABM,Terima Kasih.",,https://www.lapor.go.id/laporan/detil/permohonan-penyelesaian-perbaikan-drainase-202602191015301771470930394,1,2,2
Permohonan Peninjauan Kebijakan Wajib Jalan Kaki Bagi Siswa Yang Tidak Konsisten Diterapkan Di Lingkungan Sekolah,"Kami menyampaikan permohonan peninjauan terhadap kebijakan yang diterapkan di lingkungan sdpn setiabudi, beralamat di jl. sarirasa no. 132, sarijadi, sukasari, kota bandung.

adapun kebijakan yang dimaksud adalah imbauan/ketentuan agar siswa berjalan kaki dalam radius tertentu menuju sekolah. pada prinsipnya, kami memahami tujuan kebijakan tersebut, seperti:

- mendorong gaya hidup sehat bagi siswa
- mengurangi kemacetan di lingkungan sekolah
- meningkatkan kemandirian anak

namun demikian, dalam pelaksanaannya terdapat hal yang menjadi perhatian:

1. kebijakan tersebut terkesan diberlakukan sepihak kepada siswa, sementara jajaran sekolah (kepala sekolah, tu, dan guru) tidak memberikan contoh penerapan yang serupa.
2. hal ini menimbulkan kesan ketidakadilan dan inkonsistensi, sehingga berpotensi menurunkan efektivitas kebijakan.
3. berpotensi menimbulkan risiko bagi siswa (keamanan di jalan, cuaca, jarak tempuh) apabila tidak disertai pengaturan yang jelas dan komprehensif.

berdasarkan penelusuran kami, kebijakan berjalan kaki ke sekolah umumnya bersifat imbauan atau program edukatif, bukan kewajiban yang bersifat memaksa, dan seharusnya memperhatikan prinsip:

- keselamatan peserta didik
- kondisi lingkungan dan jarak tempuh
- keteladanan dari pihak sekolah

sejalan dengan itu, kami merujuk pada:

1. undang-undang no. 20 tahun 2003. menekankan bahwa penyelenggaraan pendidikan harus berkeadilan dan tidak diskriminatif.
2. undang-undang no. 35 tahun 2014. mengamanatkan bahwa anak berhak atas perlindungan dari risiko dan perlakuan yang tidak tepat.
3. prinsip keteladanan pendidik dalam dunia pendidikan, di mana guru dan tenaga kependidikan seharusnya menjadi contoh dalam penerapan kebijakan.

sehubungan dengan hal tersebut, kami memohon:

- peninjauan terhadap kebijakan tersebut agar tidak bersifat sepihak.
- evaluasi penerapan di lapangan agar lebih adil dan konsisten.
- penegasan apakah kebijakan tersebut bersifat imbauan atau kewajiban.
- arahan agar pihak sekolah memberikan keteladanan nyata dalam pelaksanaan kebijakan.

demikian kami sampaikan. atas perhatian dan tindak lanjutnya, kami ucapkan terima kasih.","  SELASA, 2026/03/31 |   LAINNYA TERKAIT PENDIDIKAN DASAR DAN MENENGAH |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/permohonan-peninjauan-kebijakan-wajib-jalan-kaki-bagi-siswa-yang-tidak-konsisten-diterapkan-di-lingkungan-sekolah-202603310720261774916426404,3,2,6
Pemeriksaan Izin Bangunan.,"Saat ini di jalan kalijati raya, kecamatan antapani, kota bandung jawa barat, sedang dibangun sebuah bangunan yang tampaknya akan menjadi minimarket. dari warnanya, bakal toko indomaret.

yang menjadi perhatian saya adalah, bahwa halaman / carport bangunan tersebut telah mengambil bahu jalan dan selokan.

mohon kiranya dapat diperiksa, apakah memang itu sesuai dengan izin yang diberikan oleh dinas terkait ataukah telah terjadi pelanggaran.

saya lampirkan foto saat ini.

ini lokasi google map bangunan tersebut:
https://maps.app.goo.gl/jqsyttmmengiugdya
koordinat: -6.910618, 107.654172

terima kasih.",LAINNYA TERKAIT PEKERJAAN UMUM DAN PENATAAN RUANG |   LAPORAN 5 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/pemeriksaan-izin-bangunan--202511111311131762841473786,3,2,6
Pengaduan Tentang Keberadaan Kantor/Gudang Pt China Comservice Indonesia Di Kompleks Perumahan,"Ijin melaporkan bahwa di sebelah tempat tinggal saya di jalan suryalaya barat iv no. 5 kota bandung, ada rumah tinggal yang dialihgunakan menjadi kantor dan sampai saat ini sangat mengganggu ketenangan saya dan orang tua saya yang sudah sepuh karena mereka melakukan aktivitas seperti bongkar muat barang hingga malam hari lebih dari pukul 21.00 bahkan tengah malam, dan banyak sekali parkir kendaraan di sekitar rumah kami, serta menyimpan barang dengan tidak beraturan/mengabaikan keselamatan k3, khawatir terjadi kebakaran. adapun perusahaan tersebut adalah pt china comservice indonesia yang beralamat jalan suryalaya barat iv no. 7, rt. 01 rw 04 kel. cijagra, kec. lengkong kota bandung. untuk itu saya berharap pihak satpol pp kota bandung bisa menegur keras kepada mereka, karena saya juga sudah mengadukan beberapakali ke pihak rt .","  RABU, 2025/12/24 |   LAINNYA TERKAIT KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT |   LAPORAN 6 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pengaduan-tentang-keberadaan-kantor-gudang-pt-china-comservice-indonesia-di-kompleks-perumahan-202512261927041766752024208,2,2,4
Tolong Ad Bangunan Ghoib 4 Lantai Dan Pekerja Suku Tertentu Arogan K Warga,"Ini lokasi proyek oxygen kantor provider internet konon katanya mau dibangun 4 lantai dan sudah ada dan dibuatkan bor pale , lokai persis di sebalah jl.sarijadi raya dekat atau sebelah yamaha star sarijadi di jl. no.54 bandung 40151 atau berdampingan dengan jl.sarijadi raya no.58- padahal area ini padat penduduk (pemukiman padat belakang nya) dan jl.raya sarijadi setiap hujan besar selalu banjir dari solokan kiriman atas maupun sekitar , bagaimana mungkin ini bisa di berikan ijin? belum lagi kami dengar info , pekerja bangungannya dari daerah jawa (suku jawa) tidak punya sopan santun dengan warga dan ngontrak di beberapa rumah kontrakan, dan semuanya dipaksakan kapasitas./over kapasitas bayangkan 1 rumah kontrakan kapasitas 2 kamar atau 3 atau setara hanya 6 sd 9 orang , dipaksakan sampai 20 sd 30 orang walaupun sudah ada beberapa warga lapor ke rt dan pemilik kontrakan , kami dengar tidak tidak ditanggapi, bahkan tidak ada surat lapor 1 x 24 jam ,tidak jelas ktp nya siapa dan rt belum pegang dan mersahkan warga (info ini kami dengar ketika ada keributan di sekitar lokasi proyek dan kontrakan) pemilik rumah pun pura pura tutup mata ???? masa penduduk asli kalah oleh pengontrak , padahal undang undang nya jelas? dan rt rw atau lingkungan terkait pada tutup mata wkwkkw . patut di razia semua kontrakan di sekitaran proyek , cilandak , dangdeur dan sekitara banyak yang tidak sesuai peruntukannya dan berselisish juga dengan penduduk asli.. tolong mereka kang @dedimulyadiofficial / pa gubernur kami calon presiden kami","  MINGGU, 2025/12/28 |   APLIKASI PERIZINAN |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/tolong-ad-bangunan-ghoib-4-lantai-dan-pekerja-suku-tertentu-arogan-k-warga-202512191300571766124057880,2,2,4
Pembakaran Sampah Sembarangan,Terjadi pembakaran sampah secara illegal dan terus menerus yang dilakukan pada dini hari sampai pagi hari. pembakaran tersebut terjadi di jalan tubagus ismail raya no.40 tepatnya warung entis depan wisma ayah bunda seberang indomaret. pembakaran ini kerap dilakukan hampir setiap hari karena yang bersangkutan membakar sampah berupa kelapa sisa penjualan warung tersebut dan daun daun kering yang dikumpulkan. tolong segera ditindak lanjuti karena kejadian ini sudah berulang dan mengganggu terhadap pernafasan warga sekitar,"  MINGGU, 2026/03/01 |   PENCEMARAN LINGKUNGAN |   LAPORAN 11 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pembakaran-sampah-sembarangan-202603020400111772398811767,2,2,4
Ranting Pohon Besar Menjuntai Mengenai Kabel,"Kami dari warga dian permai kecamatan babakan ciparay, kota bandung ingin mengadukan terkait pohon besar dan ranting yang kondisinya sudah sangat rimbun dan bercampur dengan kabel listrik di sekitarnya. hal ini sangat berbahaya, terutama saat hujan deras dan angin kencang.

kabel yang menjuntai dan ranting pohonnya bisa tertarik saat dilalui kendaraan besar. sudah beberapa kali truk tersangkut dalam setahun terakhir. batang pohon yang menjuntai bisa mengganggu kelancaran dan keselamatan kendaraan bermotor, serta warga yang beraktivitas disekitarnya.

mohon bantuan untuk segera menindaklanjuti hal ini, agar pohon bisa dipangkas atau dirapikan supaya lebih aman.

terimakasih atas perhatiannya.","  LAINNYA TERKAIT KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT |   LAPORAN 57 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/ranting-pohon-besar-menjuntai-mengenai-kabel-202508221514041755850444196,3,3,9
Pengaduan Resmi Terkait Kegiatan Renang Siswa Sdn 261 Di Kolam Renang Tirta Adipura,"Kepada yth.
kepala dinas kesehatan kota bandung
kepala dinas pendidikan kota bandung
di
kota bandung
dengan hormat,
kami selaku orang tua siswa sdn 261 margahayu raya, kota bandung, dengan ini menyampaikan pengaduan resmi terkait kegiatan renang yang dilaksanakan sekolah di kolam renang tirta adipura.
adapun kondisi yang kami temukan di lokasi adalah sebagai berikut:
1. air kolam keruh dan tidak terawat, tidak sesuai dengan standar kebersihan.
2. lantai kolam sangat licin, berpotensi menyebabkan kecelakaan bagi anak-anak.
3. setelah berenang, banyak anak mengeluhkan gatal-gatal pada kulit, yang sangat mengganggu dan berpotensi menimbulkan penyakit kulit.
kondisi tersebut jelas membahayakan kesehatan dan keselamatan anak-anak, serta mencerminkan kurangnya pengawasan dari pihak pengelola kolam renang. kami menilai hal ini merupakan bentuk kelalaian yang tidak bisa dibiarkan, apalagi kegiatan tersebut difasilitasi oleh pihak sekolah.
sehubungan dengan hal tersebut, kami memohon kepada dinas kesehatan kota bandung untuk segera melakukan pemeriksaan dan tindakan tegas terhadap pengelola kolam renang, serta memastikan sarana tersebut memenuhi standar kesehatan.
kami juga meminta dinas pendidikan kota bandung untuk mengevaluasi kegiatan serupa, agar tidak lagi memilih fasilitas yang berpotensi membahayakan kesehatan anak-anak.
demikian surat pengaduan ini kami sampaikan dengan penuh kesungguhan. besar harapan kami agar segera ada tindak lanjut nyata demi melindungi kesehatan dan keselamatan anak-anak.
atas perhatian dan tindakan cepatnya, kami ucapkan terima kasih.
hormat kami,
orang tua siswa
sdn 261 margahayu raya – kota bandung",LAINNYA TERKAIT PENDIDIKAN DAN KEBUDAYAAN |   LAPORAN 2 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/pengaduan-resmi-terkait-kegiatan-renang-siswa-sdn-261-di-kolam-renang-tirta-adipura-202509071235051757223305040,3,2,6
Sampah Di Jalan Raya Jamika,Sudah berminggu minggu sampah berserakan di jalan jamika no 132. baunya sangat mengganggu warga sekitar mohon ditindak lanjuti karena dijadikan tps sama orang tidak dikenal,"  SENIN, 2026/03/02 |   PENGELOLAAN SAMPAH |   LAPORAN 15 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/sampah-di-jalan-raya-jamika-202603021319481772432388560,2,2,4
Upah Dibawah Minimum,"1.upah yang sangat minimum rp.60 ribu perhari dengan jam kerja lebih dari 12 jam . untuk perusahaan bernama pt.dua inti kulinari jl.gedebage selatan no.258 yang bersembunyi di balik nama cv.bosthon inti kulinari ., 2.pembayaran upah lemburan yang tidak jelas , kerja lembur tiap hari tetapi yang di bayar kan perusahaan cuma 10 hari lembur dan tanpa di lengkapi detail slip gaji ., 3.peraturan konyol dimana karyawan dilarang bab dan menunaikan ibadah terutama ketika sholat jumat . , 4.jam kerja securiti melenceng dari aturan perundang undangan standar jam kerja securiti nasional . , 5.perusahaan ini bersembunyi di balik 2 nama sekaligus , yang seharus nya pt.dua inti kulinari mengaku sebagai cv.bosthon inti kulinari dan memasang plang di depan pabrik cuman sekedar mahkota ff . penyamaran yang sangat mengerikan . kepada pihak berwenang mohon segera di usut tuntas .
lokasi kejadian kota bandung gedebage rancabolang plang bertuliskan mahkota ff
aduan ini menjadi kewenangan pemerintah kota bandung",LAINNYA TERKAIT KETENAGAKERJAAN |   LAPORAN 2 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/upah-dibawah-minimum-202508201132321755664352217,2,2,4
Jalan Panjunan Rusak Parah & Berlubang,Jalanan di panjunan rusak parah & berlubang. sebaiknya diperbaiki. dan dibuatkan selokan di sisi jalan agar ada pembuangan drainase. jalan cepat rusak karena ada air menggenang. kemudian dilalui oleh mobil bermuatan besar saat air tergenang.,"  SELASA, 2026/03/17 |   JALAN BERLUBANG |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/jalan-panjunan-rusak-parah-berlubang-202603170854541773712494061,3,3,9
